vassom;ospar_region
1;Skagerrak
2;Skagerrak
3;Skagerrak
4;Skagerrak
5;Skagerrak
6;Skagerrak
7;Skagerrak
8;Skagerrak
9;Skagerrak
10;Skagerrak
11;Skagerrak
12;Skagerrak
13;Skagerrak
14;Skagerrak
15;Skagerrak
16;Skagerrak
17;Skagerrak
18;Skagerrak
19;Skagerrak
20;Skagerrak
21;Skagerrak
22;Skagerrak
23;Skagerrak
24;North Sea
25;North Sea
26;North Sea
27;North Sea
28;North Sea
29;North Sea
30;North Sea
31;North Sea
32;North Sea
33;North Sea
34;North Sea
35;North Sea
36;North Sea
37;North Sea
38;North Sea
39;North Sea
40;North Sea
41;North Sea
42;North Sea
43;North Sea
44;North Sea
45;North Sea
46;North Sea
47;North Sea
48;North Sea
49;North Sea
50;North Sea
51;North Sea
52;North Sea
53;North Sea
54;North Sea
55;North Sea
56;North Sea
57;North Sea
58;North Sea
59;North Sea
60;North Sea
61;North Sea
62;North Sea
63;North Sea
64;North Sea
65;North Sea
66;North Sea
67;North Sea
68;North Sea
69;North Sea
70;North Sea
71;North Sea
72;North Sea
73;North Sea
74;North Sea
75;North Sea
76;North Sea
77;North Sea
78;North Sea
79;North Sea
80;North Sea
81;North Sea
82;North Sea
83;North Sea
84;North Sea
85;North Sea
86;North Sea
87;North Sea
88;North Sea
89;North Sea
90;North Sea
91;Norwegian Sea (2)
92;Norwegian Sea (2)
93;Norwegian Sea (2)
94;Norwegian Sea (2)
95;Norwegian Sea (2)
96;Norwegian Sea (2)
97;Norwegian Sea (2)
98;Norwegian Sea (2)
99;Norwegian Sea (2)
100;Norwegian Sea (2)
101;Norwegian Sea (2)
102;Norwegian Sea (2)
103;Norwegian Sea (2)
104;Norwegian Sea (2)
105;Norwegian Sea (2)
106;Norwegian Sea (2)
107;Norwegian Sea (2)
108;Norwegian Sea (2)
109;Norwegian Sea (2)
110;Norwegian Sea (2)
111;Norwegian Sea (2)
112;Norwegian Sea (2)
113;Norwegian Sea (2)
114;Norwegian Sea (2)
115;Norwegian Sea (2)
116;Norwegian Sea (2)
117;Norwegian Sea (2)
118;Norwegian Sea (2)
119;Norwegian Sea (2)
120;Norwegian Sea (2)
121;Norwegian Sea (2)
122;Norwegian Sea (2)
123;Norwegian Sea (2)
124;Norwegian Sea (2)
125;Norwegian Sea (2)
126;Norwegian Sea (2)
127;Norwegian Sea (2)
128;Norwegian Sea (2)
129;Norwegian Sea (2)
130;Norwegian Sea (2)
131;Norwegian Sea (2)
132;Norwegian Sea (2)
133;Norwegian Sea (2)
134;Norwegian Sea (2)
135;Norwegian Sea (2)
136;Norwegian Sea (2)
137;Norwegian Sea (2)
138;Norwegian Sea (2)
139;Norwegian Sea (2)
140;Norwegian Sea (2)
141;Norwegian Sea (2)
142;Norwegian Sea (2)
143;Norwegian Sea (2)
144;Norwegian Sea (2)
145;Norwegian Sea (2)
146;Norwegian Sea (2)
147;Norwegian Sea (2)
148;Norwegian Sea (2)
149;Norwegian Sea (2)
150;Norwegian Sea (2)
151;Norwegian Sea (2)
152;Norwegian Sea (2)
153;Norwegian Sea (2)
154;Norwegian Sea (2)
155;Norwegian Sea (2)
156;Norwegian Sea (2)
157;Norwegian Sea (2)
158;Norwegian Sea (2)
159;Norwegian Sea (2)
160;Norwegian Sea (2)
161;Norwegian Sea (2)
162;Norwegian Sea (2)
163;Norwegian Sea (2)
164;Norwegian Sea (2)
165;Norwegian Sea (2)
166;Norwegian Sea (2)
167;Norwegian Sea (2)
168;Norwegian Sea (2)
169;Norwegian Sea (2)
170;Norwegian Sea (2)
171;Lofoten-Barents Sea
172;Lofoten-Barents Sea
173;Lofoten-Barents Sea
174;Lofoten-Barents Sea
175;Lofoten-Barents Sea
176;Lofoten-Barents Sea
177;Lofoten-Barents Sea
178;Lofoten-Barents Sea
179;Lofoten-Barents Sea
180;Lofoten-Barents Sea
181;Lofoten-Barents Sea
182;Lofoten-Barents Sea
183;Lofoten-Barents Sea
184;Lofoten-Barents Sea
185;Lofoten-Barents Sea
186;Lofoten-Barents Sea
187;Lofoten-Barents Sea
188;Lofoten-Barents Sea
189;Lofoten-Barents Sea
190;Lofoten-Barents Sea
191;Lofoten-Barents Sea
192;Lofoten-Barents Sea
193;Lofoten-Barents Sea
194;Lofoten-Barents Sea
195;Lofoten-Barents Sea
196;Lofoten-Barents Sea
197;Lofoten-Barents Sea
198;Lofoten-Barents Sea
199;Lofoten-Barents Sea
200;Lofoten-Barents Sea
201;Lofoten-Barents Sea
202;Lofoten-Barents Sea
203;Lofoten-Barents Sea
204;Lofoten-Barents Sea
205;Lofoten-Barents Sea
206;Lofoten-Barents Sea
207;Lofoten-Barents Sea
208;Lofoten-Barents Sea
209;Lofoten-Barents Sea
210;Lofoten-Barents Sea
211;Lofoten-Barents Sea
212;Lofoten-Barents Sea
213;Lofoten-Barents Sea
214;Lofoten-Barents Sea
215;Lofoten-Barents Sea
216;Lofoten-Barents Sea
217;Lofoten-Barents Sea
218;Lofoten-Barents Sea
219;Lofoten-Barents Sea
220;Lofoten-Barents Sea
221;Lofoten-Barents Sea
222;Lofoten-Barents Sea
223;Lofoten-Barents Sea
224;Lofoten-Barents Sea
225;Lofoten-Barents Sea
226;Lofoten-Barents Sea
227;Lofoten-Barents Sea
228;Lofoten-Barents Sea
229;Lofoten-Barents Sea
230;Lofoten-Barents Sea
231;Lofoten-Barents Sea
232;Lofoten-Barents Sea
233;Lofoten-Barents Sea
234;Lofoten-Barents Sea
235;Lofoten-Barents Sea
236;Lofoten-Barents Sea
237;Lofoten-Barents Sea
238;Lofoten-Barents Sea
239;Lofoten-Barents Sea
240;Lofoten-Barents Sea
241;Lofoten-Barents Sea
242;Lofoten-Barents Sea
243;Lofoten-Barents Sea
244;Lofoten-Barents Sea
245;Lofoten-Barents Sea
246;Lofoten-Barents Sea
247;Lofoten-Barents Sea
301;To Sweden
302;To Sweden
303;To Sweden
304;To Sweden
305;To Sweden
306;To Sweden
307;To Sweden
308;To Sweden
309;To Sweden
310;To Sweden
311;To Sweden
312;To Sweden
313;To Sweden
314;To Sweden
315;To Sweden
